309.023, 129.489, 4.253,  4.379 False
308.881, 129.489, 4.284,  4.412 False
308.737, 129.489, 4.316,  4.445 False
308.592, 129.489, 4.347,  4.478 False
308.447, 129.489, 4.380,  4.511 False
308.300, 129.489, 4.410,  4.544 False
308.152, 129.489, 4.443,  4.577 False
308.003, 129.489, 4.473,  4.610 False
307.853, 129.489, 4.506,  4.643 False
307.702, 129.489, 4.536,  4.676 False
307.550, 129.489, 4.568,  4.709 False
307.397, 129.489, 4.599,  4.742 False
307.243, 129.489, 4.631,  4.775 False
307.088, 129.489, 4.661,  4.808 False
306.932, 129.489, 4.693,  4.841 False
306.775, 129.491, 4.722,  4.874 False
306.617, 129.493, 4.753,  4.907 False
306.457, 129.496, 4.784,  4.940 False
306.297, 129.499, 4.817,  4.973 False
306.136, 129.503, 4.847,  5.006 False
305.973, 129.507, 4.880,  5.039 False
305.810, 129.511, 4.910,  5.072 False
305.646, 129.515, 4.942,  5.105 False
305.480, 129.520, 4.972,  5.138 False
305.314, 129.525, 5.004,  5.171 False
305.146, 129.531, 5.034,  5.204 False
304.978, 129.537, 5.067,  5.237 False
304.808, 129.544, 5.096,  5.270 False
304.638, 129.551, 5.130,  5.303 False
304.466, 129.558, 5.157,  5.336 False
304.294, 129.566, 5.180,  5.369 False
304.121, 129.573, 5.180,  5.402 False
303.949, 129.582, 5.173,  5.435 False
303.777, 129.591, 5.170,  5.468 False
303.605, 129.600, 5.178,  5.501 False
303.433, 129.609, 5.193,  5.534 False
303.259, 129.617, 5.220,  5.567 False
303.085, 129.626, 5.252,  5.600 False
302.909, 129.635, 5.292,  5.633 False
302.731, 129.643, 5.334,  5.666 False
302.552, 129.652, 5.381,  5.699 False
302.372, 129.661, 5.426,  5.732 False
302.190, 129.670, 5.472,  5.765 False
302.006, 129.679, 5.515,  5.798 False
301.822, 129.688, 5.558,  5.831 False
301.635, 129.698, 5.598,  5.864 False
301.448, 129.708, 5.638,  5.897 False
301.259, 129.717, 5.675,  5.930 False
301.069, 129.727, 5.713,  5.963 False
300.878, 129.739, 5.747,  5.996 False
300.686, 129.750, 5.784,  6.029 False
300.493, 129.761, 5.818,  6.062 False
300.298, 129.772, 5.855,  6.095 False
300.103, 129.783, 5.888,  6.128 False
299.906, 129.794, 5.924,  6.161 False
299.708, 129.806, 5.957,  6.194 False
299.509, 129.817, 5.992,  6.227 False
299.309, 129.828, 6.024,  6.260 False
299.107, 129.840, 6.059,  6.293 False
298.905, 129.851, 6.090,  6.326 False
298.701, 129.863, 6.124,  6.359 False
298.497, 129.875, 6.156,  6.392 False
298.291, 129.887, 6.190,  6.425 False
298.084, 129.899, 6.221,  6.458 False
297.877, 129.912, 6.254,  6.491 False
297.668, 129.925, 6.285,  6.524 False
297.458, 129.938, 6.318,  6.557 False
297.247, 129.950, 6.349,  6.590 False
297.035, 129.963, 6.382,  6.623 False
296.822, 129.976, 6.412,  6.656 False
296.608, 129.989, 6.444,  6.689 False
296.392, 130.002, 6.474,  6.722 False
296.176, 130.015, 6.507,  6.755 False
295.959, 130.028, 6.537,  6.788 False
295.741, 130.042, 6.569,  6.821 False
295.521, 130.055, 6.599,  6.854 False
295.301, 130.069, 6.632,  6.887 False
295.080, 130.083, 6.662,  6.920 False
294.857, 130.096, 6.695,  6.953 False
294.634, 130.110, 6.724,  6.986 False
294.409, 130.124, 6.756,  7.019 False
294.184, 130.138, 6.785,  7.052 False
293.957, 130.152, 6.817,  7.085 False
293.730, 130.166, 6.846,  7.118 False
293.501, 130.180, 6.877,  7.151 False
293.272, 130.194, 6.905,  7.184 False
293.041, 130.209, 6.937,  7.217 False
292.810, 130.223, 6.964,  7.250 False
292.577, 130.237, 6.995,  7.283 False
292.344, 130.252, 7.023,  7.316 False
292.109, 130.266, 7.054,  7.349 False
291.874, 130.280, 7.081,  7.382 False
291.638, 130.295, 7.112,  7.415 False
291.400, 130.309, 7.140,  7.448 False
291.162, 130.324, 7.171,  7.481 False
290.923, 130.338, 7.199,  7.514 False
290.682, 130.353, 7.230,  7.547 False
290.441, 130.368, 7.257,  7.580 False
290.199, 130.382, 7.288,  7.613 False
289.956, 130.397, 7.316,  7.646 False
289.711, 130.412, 7.347,  7.679 False
289.466, 130.426, 7.375,  7.712 False
289.220, 130.441, 7.406,  7.745 False
288.973, 130.455, 7.433,  7.778 False
288.725, 130.470, 7.464,  7.811 False
288.476, 130.485, 7.492,  7.844 False
288.226, 130.499, 7.523,  7.877 False
287.975, 130.514, 7.550,  7.910 False
287.723, 130.529, 7.580,  7.943 False
287.470, 130.543, 7.607,  7.976 False
287.216, 130.558, 7.638,  8.009 False
286.961, 130.573, 7.665,  8.042 False
286.705, 130.587, 7.695,  8.075 False
286.448, 130.602, 7.722,  8.108 False
286.191, 130.616, 7.753,  8.141 False
285.932, 130.631, 7.780,  8.174 False
285.672, 130.645, 7.811,  8.207 False
285.412, 130.660, 7.838,  8.240 False
285.150, 130.674, 7.869,  8.273 False
284.887, 130.688, 7.897,  8.306 False
284.624, 130.701, 7.926,  8.339 False
284.359, 130.713, 7.954,  8.372 False
284.093, 130.726, 7.985,  8.405 False
283.827, 130.737, 8.012,  8.438 False
283.559, 130.749, 8.044,  8.471 False
283.291, 130.761, 8.072,  8.504 False
283.021, 130.772, 8.103,  8.537 False
282.750, 130.782, 8.131,  8.570 False
282.479, 130.793, 8.163,  8.603 False
282.206, 130.802, 8.190,  8.636 False
281.933, 130.811, 8.221,  8.669 False
281.658, 130.820, 8.248,  8.702 False
281.383, 130.829, 8.272,  8.735 False
281.107, 130.837, 8.291,  8.768 False
280.830, 130.846, 8.308,  8.801 False
280.553, 130.854, 8.322,  8.834 False
280.276, 130.861, 8.333,  8.867 False
279.998, 130.867, 8.343,  8.900 False
279.720, 130.874, 8.352,  8.933 False
279.441, 130.880, 8.360,  8.966 False
279.163, 130.885, 8.367,  8.999 False
278.884, 130.889, 8.372,  9.032 False
278.605, 130.894, 8.377,  9.065 False
278.325, 130.899, 8.382,  9.098 False
278.046, 130.902, 8.385,  9.131 False
277.767, 130.906, 8.388,  9.164 False
277.487, 130.910, 8.391,  9.197 False
277.207, 130.912, 8.393,  9.230 False
276.928, 130.914, 8.395,  9.263 False
276.648, 130.917, 8.397,  9.296 False
276.368, 130.919, 8.398,  9.329 False
276.088, 130.920, 8.399,  9.362 False
275.808, 130.921, 8.400,  9.395 False
275.528, 130.922, 8.401,  9.428 False
275.248, 130.922, 8.401,  9.461 False
274.968, 130.923, 8.401,  9.494 False
274.688, 130.923, 8.401,  9.527 False
274.408, 130.922, 8.401,  9.560 False
274.128, 130.921, 8.401,  9.593 False
273.848, 130.920, 8.401,  9.626 False
273.568, 130.919, 8.400,  9.659 False
273.288, 130.918, 8.400,  9.692 False
273.008, 130.915, 8.399,  9.725 False
272.729, 130.913, 8.399,  9.758 False
272.449, 130.911, 8.398,  9.791 False
272.169, 130.908, 8.397,  9.824 False
271.889, 130.905, 8.397,  9.857 False
271.609, 130.903, 8.396,  9.890 False
271.329, 130.899, 8.395,  9.923 False
271.049, 130.896, 8.394,  9.956 False
270.770, 130.892, 8.393,  9.989 False
270.490, 130.888, 8.392, 10.022 False
270.210, 130.884, 8.391, 10.055 False
269.931, 130.879, 8.390, 10.088 False
269.651, 130.875, 8.389, 10.121 False
269.372, 130.870, 8.388, 10.154 False
269.092, 130.865, 8.387, 10.187 False
268.813, 130.860, 8.386, 10.220 False
268.533, 130.854, 8.385, 10.253 False
268.254, 130.849, 8.384, 10.286 False
267.974, 130.843, 8.383, 10.319 False
267.695, 130.838, 8.382, 10.352 False
267.416, 130.832, 8.381, 10.385 False
267.136, 130.826, 8.380, 10.418 False
266.857, 130.819, 8.379, 10.451 False
266.578, 130.813, 8.378, 10.484 False
266.299, 130.806, 8.377, 10.517 False
266.020, 130.799, 8.376, 10.550 False
265.741, 130.792, 8.375, 10.583 False
265.462, 130.785, 8.374, 10.616 False
265.183, 130.778, 8.373, 10.649 False
264.904, 130.771, 8.373, 10.682 False
264.625, 130.763, 8.372, 10.715 False
264.346, 130.756, 8.371, 10.748 False
264.067, 130.748, 8.370, 10.781 False
263.788, 130.740, 8.369, 10.814 False
263.509, 130.731, 8.368, 10.847 False
263.230, 130.723, 8.367, 10.880 False
262.952, 130.714, 8.367, 10.913 False
262.673, 130.706, 8.366, 10.946 False
262.394, 130.697, 8.365, 10.979 False
262.115, 130.688, 8.364, 11.012 False
261.837, 130.679, 8.364, 11.045 False
261.558, 130.670, 8.363, 11.078 False
261.280, 130.661, 8.362, 11.111 False
261.001, 130.651, 8.362, 11.144 False
260.722, 130.642, 8.361, 11.177 False
260.444, 130.632, 8.360, 11.210 False
260.165, 130.623, 8.360, 11.243 False
259.887, 130.613, 8.359, 11.276 False
259.608, 130.603, 8.358, 11.309 False
259.330, 130.593, 8.358, 11.342 False
259.052, 130.583, 8.357, 11.375 False
258.773, 130.573, 8.357, 11.408 False
258.495, 130.563, 8.356, 11.441 False
258.217, 130.552, 8.355, 11.474 False
257.938, 130.542, 8.355, 11.507 False
257.660, 130.532, 8.354, 11.540 False
257.382, 130.520, 8.354, 11.573 False
257.104, 130.510, 8.353, 11.606 False
256.825, 130.499, 8.353, 11.639 False
256.547, 130.488, 8.352, 11.672 False
256.269, 130.477, 8.352, 11.705 False
255.991, 130.466, 8.351, 11.738 False
255.713, 130.455, 8.351, 11.771 False
255.435, 130.443, 8.350, 11.804 False
255.156, 130.432, 8.350, 11.837 False
254.878, 130.421, 8.350, 11.870 False
254.600, 130.410, 8.349, 11.903 False
254.322, 130.398, 8.349, 11.936 False
254.044, 130.387, 8.348, 11.969 False
253.766, 130.375, 8.348, 12.002 False
253.488, 130.364, 8.348, 12.035 False
253.210, 130.352, 8.347, 12.068 False
252.932, 130.341, 8.347, 12.101 False
252.654, 130.329, 8.347, 12.134 False
252.376, 130.317, 8.346, 12.167 False
252.098, 130.306, 8.346, 12.200 False
251.820, 130.294, 8.346, 12.233 False
251.542, 130.282, 8.345, 12.266 False
251.264, 130.271, 8.345, 12.299 False
250.986, 130.259, 8.345, 12.332 False
250.709, 130.247, 8.344, 12.365 False
250.431, 130.235, 8.344, 12.398 False
250.153, 130.223, 8.344, 12.431 False
249.875, 130.212, 8.344, 12.464 False
249.597, 130.200, 8.343, 12.497 False
249.319, 130.188, 8.343, 12.530 False
249.041, 130.176, 8.343, 12.563 False
248.764, 130.164, 8.343, 12.596 False
248.486, 130.153, 8.342, 12.629 False
248.208, 130.140, 8.342, 12.662 False
247.930, 130.128, 8.342, 12.695 False
247.652, 130.116, 8.342, 12.728 False
247.375, 130.104, 8.341, 12.761 False
247.097, 130.092, 8.341, 12.794 False
246.819, 130.080, 8.341, 12.827 False
246.541, 130.068, 8.341, 12.860 False
246.263, 130.056, 8.341, 12.893 False
245.986, 130.044, 8.340, 12.926 False
245.708, 130.032, 8.340, 12.959 False
245.430, 130.020, 8.340, 12.992 False
245.152, 130.008, 8.340, 13.025 False
244.875, 129.996, 8.340, 13.058 False
244.597, 129.984, 8.340, 13.091 False
244.319, 129.972, 8.339, 13.124 False
244.042, 129.961, 8.339, 13.157 False
243.764, 129.949, 8.339, 13.190 False
243.486, 129.937, 8.339, 13.223 False
243.208, 129.925, 8.339, 13.256 False
242.931, 129.914, 8.339, 13.289 False
242.653, 129.903, 8.338, 13.322 False
242.375, 129.891, 8.338, 13.355 False
242.097, 129.880, 8.338, 13.388 False
241.820, 129.869, 8.338, 13.421 False
241.542, 129.857, 8.338, 13.454 False
241.264, 129.846, 8.338, 13.487 False
240.987, 129.835, 8.338, 13.520 False
